trans_id,lang,translation
אביי/רב אשי,EN,Abaye/Rav Ashi
אביי/רב המנונא,EN,Abaye/Rav Hamnuna
אביי/רב זירא,EN,Abaye/Rav Zera
אביי/רב פפא,EN,Abaye/Rav Papa
אבימלך/ראובן,EN,Avimelekh/Re'uven
אביעזר,EN,Avi'ezer
אביעזר/מרכז א,EN,Avi'ezer - Center A
אביעזר/מרכז ב,EN,Avi'ezer - Center B
אביעזר/מרכז ג,EN,Avi'ezer - Center G
אביר יעקב,EN,Abir Ya'akov
אביר יעקב/השופטים,EN,Abir Ya'akov/HaShoftim
אביר יעקב/לילך,EN,Abir Ya'akov/Lilakh
אביר יעקב/מעייני הישועה,EN,Abir Ya'akov/Ma'ayane HaYeshua
אבירי יעקב/אבני חפץ,EN,Abir Ya'akov/Avne Hefets
אבירי יעקב/מבשר טוב,EN,Abir Ya'akov/Mevaser Tov
אבירי יעקב/שיבת ציון,EN,Abir Ya'akov/Shivat Zion
אבירים,EN,Abirim
אבירים 1,EN,Abirim 1
אבירים א,EN,Abirim A
אבירים ב,EN,Abirim B
אבל פן/לייבוביץ',EN,Abel Pann/Leibowitz
אבן אלהייתם,EN,Ibn Al-Haytham
אבן בטוטה/אבן חלדון,EN,Ibn Batuta/Ibn Haldoun
אבן גבירול,EN,Ibn Gabirol
אבן גבירול /גני ילדים,EN,Ibn Gvirol/Kindergartens
אבן גבירול 31,EN,Even Gvirol 31
אבן גבירול/2040,EN,Ibn Gabirol/2040
אבן גבירול/אלחריזי א,EN,Ibn Gvirol/Alharizi A
אבן גבירול/אלחריזי ב,EN,Ibn Gvirol/Alharizi B
אבן גבירול/אליעזר קפלן,EN,Ibn Gabirol/Eliezer Kaplan
אבן גבירול/ארלוזורוב,EN,Ibn Gabirol/Arlosoroff
אבן גבירול/ארלוזרוב,EN,Ibn Gvirol/Arlozorov
אבן גבירול/ביל"ו,EN,Ibn Gvirol/Bilu
אבן גבירול/דוד המלך,EN,Ibn Gvirol/David HaMelekh
אבן גבירול/דיזנגוף,EN,Ibn Gvirol/Dizengoff
אבן גבירול/הרב מיימון,EN,Ibn Gvirol/HaRav Maimon
אבן גבירול/השופטים,EN,Ibn Gvirol/HaShoftim
אבן גבירול/זבוטינסקי,EN,Ibn Gvirol/Jabotinsky
אבן גבירול/ז'בוטינסקי,EN,Ibn Gabirol/Komemiyut
אבן גבירול/חיים הזז,EN,Ibn Gvirol/Haim Hazaz
אבן גבירול/יהודה המכבי,EN,Ibn Gabirol/Yehuda HaMakabi
אבן גבירול/מאנה,EN,Ibn Gvirol/Mahne
אבן גבירול/מצדה,EN,Ibn Gvirol/Masada
אבן גבירול/מרמורק,EN,Ibn Gvirol/Marmurek
אבן גבירול/סמילנסקי,EN,Ibn Gabirol/Smilansky
אבן גבירול/פנקס,EN,Ibn Gvirol/Pinkas
אבן גבירול/פרופ' שור,EN,Ibn Gabirol/Professor Schorr
אבן גבירול/צבי פרופס,EN,Ibn Gabirol/Tsvi Propes
אבן גבירול/צייטלין,EN,Ibn Gabirol/Zeitlin
אבן גבירול/קוממיות,EN,Ibn Gabirol/Komemiyut
אבן גבירול/קרליבך,EN,Ibn Gvirol/Carlebach
אבן גבירול/רמב"ם,EN,Ibn Gvirol/Rambam
אבן גבירול/שד נורדאו,EN,Ibn Gvirol/Nordau Blvd
אבן גבירול/שד' רוקח,EN,Ibn Gvirol/Rokach Blvd
אבן גבירול/שדרה 5,EN,Ibn Gabirol/Shdera 5
אבן גבירול/שושנה פרסיץ,EN,Ibn Gabirol/Shoshana Persitz
אבן ח'לדון ב,EN,Ibn Haldoun B
אבן ח'לדון ד/סלמאן אל פארסי,EN,Ibn Haldoun D/Salman al Farsi
אבן ח'לדון/אלאמל,EN,Ibn Khaldun/Al-Amal
אבן ח'לדון/עמרו בן אל עאס,EN,Ibn Haldoun D/Amro ben al A'as
אבן יהודה,EN,Even Yehuda
אבן כולדון,EN,Ibn Khaldun
אבן מנחם,EN,Even Menahem
אבן מנחם 1,EN,Even Menahem 1
אבן מנחם 3,EN,Even Menahem 3
אבן מנחם 4,EN,Even Menahem 4
אבן מנחם 5,EN,Even Menahem 5
אבן מנחם 6,EN,Even Menachem 6
אבן מנחם 7,EN,Even Menahem 7
אבן מנחם 8,EN,Even Menahem 8
אבן מנחם 9,EN,Even Menahem 9
אבן מנחם א,EN,Even Menahem A
אבן מנחם ב,EN,Even Menahem B
אבן מנחם ג,EN,Even Menahem G
אבן סינא,EN,Ibn Sina
אבן סינא א,EN,Ibn Sina A
אבן סינא/אלשאם,EN,Even Sina/Alsham
אבן סינא/בגדאד,EN,Ibn Sina/Baghdad
אבן סינאא א/אל קטאיין,EN,Ibn Sina A/Al Kataein
אבן סינאא ב/אל קטאיין,EN,Ibn Sina B/Al Kataein
אבן סינאא ג,EN,Ibn Sina G
אבן סינאא ד,EN,Ibn Sina D
אבן סינאא ה,EN,Ibn Sina H
אבן סינאא ו,EN,Ibn Sina V
אבן סינאא ז,EN,Ibn Sina Z
אבן סינאא ח/אל קטאיין,EN,Ibn Sina Het/Al Kataein
אבן ספיר,EN,Even Sapir
אבן ספיר א',EN,Even Sapir A
אבן ספיר/לשם,EN,Even Sapir/Leshem
אבן ספיר/שוהם,EN,Even Sapir/Shoham
אבן עזרא / התלמוד,EN,Ibn Ezra/HaTalmud
אבן עזרא/אלחריזי,EN,Ibn Ezra/Alharizi
אבן עזרא/ארלוזורוב,EN,Ibn Ezra/Arlozorov
אבן עזרא/ביאליק,EN,Ibn Ezra/Bialik
אבן עזרא/בעלי התוספות,EN,Ibn Ezra/Ba'alei HaTosafot
אבן עזרא/הגר"א,EN,Ibn Ezra/Hagra
אבן עזרא/הסופרים היהודים,EN,Ibn Ezra/HaSofrim HaYehudim
אבן עזרא/הרב מיימון,EN,Ibn Ezra/Harav Maimon
אבן עזרא/הרב ניסים,EN,Ibn Ezra/HaRav Nissim
אבן עזרא/מודיעין,EN,Ibn Ezra/Modi'in
אבן עזרא/רבי מאיר,EN,Ibn Ezra/Rabi Me'ir
אבן עזרא/רשב"ם,EN,Ibn Ezra/Rashbam
אבן עזרא/שדרות ירושלים,EN,Ibn Ezra/Yerushalayim Boulevard
אבן עזרא/שלום שבזי,EN,Ibn Ezra/Shalom Shabazi
אבן עזרא/שמואל הנגיד,EN,Ibn Ezra/Shmuel HaNagid
אבן שמואל,EN,Even Shmuel
אבן שמואל/הרחבה,EN,Even Shmuel/Harhava
אבן שמואל/מרכז,EN,Even Shmuel/Center
אבן תאימייה/אלריחאן,EN,Ibn Ta'imia/A-Rikh'an
אבן תאימייה/מסגד,EN,Ibn Ta'imia/Mosque
אבן תיימיה/אל-מג'זרה,EN,Ibn Taymiya/Al-Majazra
אבני איתן,EN,Avne Etan
אבני החושן,EN,Avne HaHoshen
אבני החושן/אודם,EN,Avne HaHoshen/Odem
אבני החושן/אלחמה,EN,Avne HaHoshen/Ahlama
אבני החושן/ברקת,EN,Avne HaHoshen/Bareket
אבני החושן/יהלום,EN,Avne HaHoshen/Yahalom
אבני החושן/יציאה לכביש 8833,EN,Avnei HaHoshen/Highway 8833 Exit
אבני החושן/לשם,EN,Avnei HaHoshen/Leshem
